sl_no,prompt,call_type,session_group,turn,expected_db_call_type,notes
1,What is your return policy?,single_shot,SS-01,1,standard,Short — baseline
2,How long does standard shipping take to deliver?,single_shot,SS-02,1,standard,Short — independent
3,Do you offer gift wrapping for orders?,single_shot,SS-03,1,standard,Short — independent
4,I placed an order three days ago and I still have not received any shipping confirmation email. My order number is 98765. Can you check the status for me?,single_shot,SS-04,1,standard,Medium — longer than SS-01 triggers growth warning test
5,What payment methods do you accept?,single_shot,SS-05,1,standard,Short — after long prompt tests growth guard reset
6,I recently purchased a wireless headphone set from your store and the left earbud stopped working after just four days of normal use. I would like to know what my options are for a replacement or repair under warranty.,single_shot,SS-06,1,standard,Long — tests growth guard with medium previous
7,Can I change my delivery address after placing an order?,single_shot,SS-07,1,standard,Short — after long resets the comparison
8,I am trying to log into my account but I keep getting an error message saying my password is incorrect even though I reset it twice today. I have also cleared my browser cache and tried a different browser but the issue persists. Is there something wrong with your system or is there something I can do on my end to fix this?,single_shot,SS-08,1,standard,Very long — tests growth warning fires vs SS-07
9,What are your customer service hours?,single_shot,SS-09,1,standard,Very short — after very long tests guard
10,I bought a coffee maker from your website six months ago and it has developed a fault where it does not heat the water to the correct temperature. I have a two year warranty and I would like to understand the process for getting this repaired or replaced. Please also let me know if I need to send the item back or if a technician can visit my home.,single_shot,SS-10,1,standard,Very long — final single-shot
11,I need to check the status of my order number 12345. Can you look that up for me?,agentic,AG-01,1,initial,Agentic session 1 — turn 1 initial request
12,The tracking shows it is stuck at the warehouse since yesterday. Can you escalate this and check if there is a delay on your end?,agentic,AG-01,2,tool_call,Agentic session 1 — turn 2 after tool result fed back
13,Thank you for checking. Please go ahead and send me a replacement and cancel the delayed shipment.,agentic,AG-01,3,final,Agentic session 1 — turn 3 final resolution
14,My internet router that I bought from you keeps dropping connection every few hours. I have already restarted it several times. Can you run a diagnostic?,agentic,AG-02,1,initial,Agentic session 2 — turn 1 technical issue
15,The diagnostic shows firmware version 2.1.3 which is outdated. Can you push the firmware update remotely and also check if my warranty is still valid?,agentic,AG-02,2,tool_call,Agentic session 2 — turn 2 after diagnostic result
16,The firmware update fixed the dropping issue. Please also log this as a resolved ticket and email me the summary.,agentic,AG-02,3,final,Agentic session 2 — turn 3 final closure
17,I returned a jacket two weeks ago but I have not received my refund yet. The return tracking shows it was delivered to your warehouse. Can you check what happened?,agentic,AG-03,1,initial,Agentic session 3 — turn 1 refund query
18,You said the return was received but the refund is still processing. Can you check if there is a hold on my account and override it if possible?,agentic,AG-03,2,tool_call,Agentic session 3 — turn 2 after system check
19,Thank you. Please confirm once the refund is issued and also apply a ten dollar store credit for the inconvenience.,agentic,AG-03,3,final,Agentic session 3 — turn 3 final action
20,Hi I am looking for a laptop for my college-going daughter. She mainly needs it for documents and video calls.,multi_turn,MT-01,1,standard,Multi-turn session 1 — turn 1 below message threshold
21,She will also occasionally edit photos and videos for her projects. Budget is around eight hundred dollars.,multi_turn,MT-01,2,standard,Multi-turn session 1 — turn 2 still below threshold
22,Can you also compare the two models you mentioned in terms of battery life and weight? She carries it to classes every day.,multi_turn,MT-01,3,standard,Multi-turn session 1 — turn 3 approaching threshold
23,That is very helpful. Can you check if the second model you mentioned is currently in stock and what the delivery time would be?,multi_turn,MT-01,4,initial or final,Multi-turn session 1 — turn 4 crosses min_messages_to_flag threshold
24,I am having trouble setting up my new smart TV. It connects to WiFi but cannot find any streaming apps in the app store.,multi_turn,MT-02,1,standard,Multi-turn session 2 — turn 1
25,I tried the soft reset you suggested but the app store still shows zero apps available. The TV model is SmartView X200.,multi_turn,MT-02,2,standard,Multi-turn session 2 — turn 2
26,I did the factory reset but now it is asking me to register the TV again and I do not remember the email I used.,multi_turn,MT-02,3,standard,Multi-turn session 2 — turn 3
27,I found the email. I logged in but now the TV says my subscription has expired even though I paid last month.,multi_turn,MT-02,4,initial or final,Multi-turn session 2 — turn 4 crosses threshold
28,I want to upgrade my current subscription plan from basic to premium. What are the differences between the plans?,multi_turn,MT-03,1,standard,Multi-turn session 3 — turn 1
29,The premium plan sounds good. Does it include access for multiple devices or just one?,multi_turn,MT-03,2,standard,Multi-turn session 3 — turn 2
30,We are a family of four. Can we share one premium account or do we need separate accounts for each person?,multi_turn,MT-03,3,standard,Multi-turn session 3 — turn 3
31,If we go with the family plan you mentioned can we start it today and will the billing be prorated from my current plan?,multi_turn,MT-03,4,initial or final,Multi-turn session 3 — turn 4 crosses threshold
